;Armenia;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;European Commission;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom
COI_2012;34;47;15;56;70;71;33;6;42;10;19;37;58;26;22;28;14;26;39;75;57;34;20;2;23;28;21;44;63;64;81;29;28;28;59
COI_2015;35;53;23;69;82;68;36;6;18;9;20;73;49;54;26;28;14;54;37;85;65;35;14;3;25;36;34;54;76;78;82;23;28;30;22
FD_2012;73;19;33;85;77;59;62;0;81;8;10;50;86;22;69;74;13;49;42;73;86;22;17;13;25;58;51;58;94;75;81;77;5;13;49
FD_2015;76;21;38;84;77;51;62;0;69;12;15;83;76;24;66;75;14;48;52;81;86;36;17;13;29;57;51;87;89;85;87;42;5;9;38
FoI_2012;79;29;43;75;58;22;52;43;80;50;73;45;62;42;35;60;42;70;41;50;57;8;66;46;53;57;54;64;80;62;80;10;35;59;76
FoI_2015;76;29;43;75;81;22;52;46;80;50;80;41;64;43;35;60;36;83;60;50;57;5;81;46;60;57;51;64;80;62;80;57;35;59;66
PF_2012;64;67;69;92;94;39;39;0;58;28;53;92;100;28;83;42;69;36;28;94;100;67;47;0;28;83;61;69;94;50;69;44;25;0;42
PF_2015;80;68;77;92;80;71;57;41;54;19;56;85;91;58;94;75;66;74;70;86;83;56;24;43;39;86;72;89;83;75;77;58;46;13;76
